ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000538.SZ,20230609,52.55,0.3372,0.874,31.4632,26.1947,2.5303,2.5878,2.5132,9442512.695,8852545.0434
000538.SZ,20230608,52.76,0.4268,1.1064,31.589,26.2993,2.5404,2.5982,2.5232,9480246.8085,8887921.5317
000538.SZ,20230607,52.64,0.2872,0.7443,31.5171,26.2395,2.5347,2.5922,2.5175,9458684.4579,8867706.3955
000538.SZ,20230606,52.58,0.4505,1.1677,31.4812,26.2096,2.5318,2.5893,2.5146,9447903.2826,8857598.8274
000538.SZ,20230605,53.36,0.2915,0.7555,31.9482,26.5984,2.5693,2.6277,2.5519,9588058.5615,8988997.2125
000538.SZ,20230602,53.43,0.3222,0.8352,31.9901,26.6333,2.5727,2.6311,2.5553,9600636.5993,9000789.3752
000538.SZ,20230601,53.12,0.4817,1.2487,31.8045,26.4788,2.5578,2.6159,2.5405,9544933.8603,8948566.9402
000538.SZ,20230531,53.85,0.4397,1.1398,32.2416,26.8427,2.5929,2.6518,2.5754,9676104.8264,9071542.3518
000538.SZ,20230530,54.25,0.3356,0.87,32.4811,27.0421,2.6122,2.6715,2.5945,9747979.3283,9138926.139
000538.SZ,20230529,55.05,0.3602,0.9336,32.9601,27.4408,2.6507,2.7109,2.6328,9891728.3322,9273693.7134
000538.SZ,20230526,55.04,0.4813,1.2477,32.9541,27.4359,2.6502,2.7104,2.6323,9889931.4697,9272009.1187
000538.SZ,20230525,54.01,0.4026,1.0435,32.3374,26.9224,2.6006,2.6597,2.583,9704854.6271,9098495.8667
000538.SZ,20230524,54.56,0.3715,0.9631,32.6667,27.1966,2.6271,2.6868,2.6093,9803682.0673,9191148.5741
000538.SZ,20230523,55.71,0.2688,0.6967,33.3552,27.7698,2.6825,2.7434,2.6643,10010321.2605,9384876.9623
000538.SZ,20230522,55.97,0.373,0.9669,33.5109,27.8994,2.695,2.7562,2.6768,10057039.6868,9428676.424
000538.SZ,20230519,55.28,0.3827,0.9919,33.0978,27.5555,2.6618,2.7223,2.6438,9933056.1709,9312439.391
000538.SZ,20230518,57.11,0.3128,0.8108,34.1934,28.4677,2.5636,2.8124,2.7313,10261882.0173,9620720.2175
000538.SZ,20230517,57.46,0.2677,0.6938,34.403,28.6422,2.5793,2.8296,2.748,10324772.2066,9679681.0313
000538.SZ,20230516,57.8,0.3662,0.9492,34.6066,28.8116,2.5946,2.8463,2.7643,10385865.5332,9736957.2504
000538.SZ,20230515,57.73,0.3654,0.9471,34.5647,28.7768,2.5914,2.8429,2.7609,10373287.4954,9725165.0876
000538.SZ,20230512,57.29,0.3799,0.9847,34.3012,28.5574,2.5717,2.8212,2.7399,10294225.5432,9651042.9217
000538.SZ,20230511,56.93,0.3071,0.7961,34.0857,28.378,2.5555,2.8035,2.7227,10229538.4915,9590397.5132
000538.SZ,20230510,57.4,0.3788,0.9818,34.3671,28.6123,2.5766,2.8267,2.7452,10313991.0313,9669573.4632
000538.SZ,20230509,57.61,0.5662,1.4676,34.4928,28.7169,2.586,2.837,2.7552,10351725.1448,9704949.9515
000538.SZ,20230508,59.15,0.6215,1.611,35.4148,29.4846,2.6552,2.9128,2.8289,10628441.9773,9964377.5322
000538.SZ,20230505,58.65,0.5013,1.2995,35.1155,29.2353,2.6327,2.8882,2.8049,10538598.8499,9880147.7982
000538.SZ,20230504,59.16,1.0439,2.7057,35.4208,29.4896,2.6556,2.9133,2.8293,10630238.8399,9966062.1269
000538.SZ,20230428,58.19,1.012,2.6231,34.8401,29.006,2.6121,2.8656,2.7829,10455943.1726,9802656.4429
000538.SZ,20230427,57.59,1.7594,4.5603,34.4808,28.707,2.5851,2.836,2.7542,10348131.4197,9701580.7621
000538.SZ,20230426,53.56,0.3076,0.7972,32.068,32.068,2.4995,2.6376,2.6376,9623995.8124,9022689.1061
000538.SZ,20230425,53.86,0.2965,0.7686,32.2476,32.2476,2.5135,2.6523,2.6523,9677901.6889,9073226.9465
000538.SZ,20230424,54.09,0.3663,0.9494,32.3853,32.3853,2.5242,2.6637,2.6637,9719229.5275,9111972.6241
000538.SZ,20230421,54.97,0.3515,0.9112,32.9122,32.9122,2.5653,2.707,2.707,9877353.4319,9260216.956
000538.SZ,20230420,55.05,0.3535,0.9163,32.9601,32.9601,2.569,2.7109,2.7109,9891728.3322,9273693.7134
000538.SZ,20230419,54.48,0.4594,1.1909,32.6188,32.6188,2.5424,2.6829,2.6829,9789307.167,9177671.8166
000538.SZ,20230418,55.47,0.2966,0.7688,33.2115,33.2115,2.5886,2.7316,2.7316,9967196.5593,9344446.69
000538.SZ,20230417,55.79,0.3586,0.9296,33.4031,33.4031,2.6036,2.7474,2.7474,10024696.1609,9398353.7197
000538.SZ,20230414,55.8,0.2353,0.6099,33.4091,33.4091,2.604,2.7479,2.7479,10026493.0234,9400038.3144
000538.SZ,20230413,55.82,0.4054,1.0507,33.4211,33.4211,2.605,2.7488,2.7488,10030086.7485,9403407.5038
000538.SZ,20230412,55.37,0.4028,1.0442,33.1517,33.1517,2.584,2.7267,2.7267,9949227.9338,9327600.7432
000538.SZ,20230411,56.0,0.3988,1.0337,33.5289,33.5289,2.6134,2.7577,2.7577,10062430.2744,9433730.208
000538.SZ,20230410,55.26,0.3588,0.9299,33.0858,33.0858,2.5788,2.7213,2.7213,9929462.4458,9309070.2017
000538.SZ,20230407,55.91,0.3418,0.886,33.475,33.475,2.6092,2.7533,2.7533,10046258.5115,9418568.8559
000538.SZ,20230406,55.5,0.4262,1.1046,33.2295,33.2295,2.59,2.7331,2.7331,9972587.147,9349500.474
000538.SZ,20230404,55.57,0.488,1.265,33.2714,33.2714,2.5933,2.7365,2.7365,9985165.1848,9361292.6368
000538.SZ,20230403,54.92,0.3052,0.7911,32.8822,32.8822,2.563,2.7045,2.7045,9868369.1191,9251793.9826
000538.SZ,20230331,54.7,0.488,1.2648,32.7505,32.7505,2.5527,2.6937,2.6937,9828838.143,9214732.8996
000538.SZ,20230330,53.92,0.1725,0.4471,34.5577,36.4512,2.5613,2.6636,2.774,9688682.8642,9083334.5146
000538.SZ,20230329,53.9,0.2381,0.6171,34.5449,36.4377,2.5603,2.6626,2.7729,9685089.1391,9079965.3252
000538.SZ,20230328,54.27,0.2987,0.7743,34.7821,36.6879,2.5779,2.6809,2.792,9751573.0534,9142295.3284
000538.SZ,20230327,53.57,0.2954,0.7657,34.3334,36.2146,2.5447,2.6463,2.756,9625792.675,9024373.7008
000538.SZ,20230324,53.24,0.2363,0.6125,34.1219,35.9916,2.529,2.63,2.739,9566496.2109,8968782.0763
000538.SZ,20230323,53.76,0.1973,0.5113,34.4552,36.3431,2.5537,2.6557,2.7657,9659933.0634,9056380.9997
000538.SZ,20230322,53.5,0.1904,0.4936,34.2886,36.1673,2.5413,2.6429,2.7524,9613214.6372,9012581.538
000538.SZ,20230321,53.12,0.2473,0.6411,34.045,35.9104,2.5233,2.6241,2.7328,9544933.8603,8948566.9402
000538.SZ,20230320,52.54,0.5764,1.4941,33.6733,35.5183,2.4957,2.5955,2.703,9440715.8324,8850860.4487
000538.SZ,20230317,54.06,0.305,0.7905,34.6475,36.5459,2.5679,2.6706,2.7812,9713838.9399,9106918.8401
