spec_id,benchmark_method,event_universe,signal_scale,analyst_min,filter_profile,car_window,signal_col,event_count,usable_signal_count,strict_match_share,median_broker_count,median_benchmark_lag_days,event_type_composition,coef,t_stat,p_value,regression_nobs,r2
spec_022,latest_snapshot,preannouncement_only,raw,3,relaxed,CAR10,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_022,latest_snapshot,preannouncement_only,raw,3,relaxed,CAR20,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_023,latest_snapshot,preannouncement_only,raw,5,restrictive,CAR3,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_023,latest_snapshot,preannouncement_only,raw,5,restrictive,CAR5,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_023,latest_snapshot,preannouncement_only,raw,5,restrictive,CAR10,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_023,latest_snapshot,preannouncement_only,raw,5,restrictive,CAR20,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_024,latest_snapshot,preannouncement_only,raw,5,relaxed,CAR3,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_024,latest_snapshot,preannouncement_only,raw,5,relaxed,CAR5,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_024,latest_snapshot,preannouncement_only,raw,5,relaxed,CAR10,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_024,latest_snapshot,preannouncement_only,raw,5,relaxed,CAR20,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_025,latest_snapshot,preannouncement_only,standardized,1,restrictive,CAR3,main_surprise_std,155,155,1.0,1.0,56.0,preannouncement:155,0.002480666768533686,0.2981039040602302,0.7656238619571936,101,0.40500754924264837
spec_025,latest_snapshot,preannouncement_only,standardized,1,restrictive,CAR5,main_surprise_std,155,155,1.0,1.0,56.0,preannouncement:155,0.0056596507035189016,0.6158395338905067,0.5380004322468692,101,0.3775921476442341
spec_025,latest_snapshot,preannouncement_only,standardized,1,restrictive,CAR10,main_surprise_std,155,155,1.0,1.0,56.0,preannouncement:155,0.01477141802595966,1.3657935509405905,0.17200377114971754,101,0.46085754468904994
spec_025,latest_snapshot,preannouncement_only,standardized,1,restrictive,CAR20,main_surprise_std,155,155,1.0,1.0,56.0,preannouncement:155,0.016888897651679637,1.0571224231180012,0.29045571882363364,101,0.4627588568274028
spec_026,latest_snapshot,preannouncement_only,standardized,1,relaxed,CAR3,main_surprise_std,160,160,1.0,1.0,56.5,preannouncement:160,0.0029042716326322503,0.3561817942801227,0.7217044251491148,105,0.4019953006118263
spec_026,latest_snapshot,preannouncement_only,standardized,1,relaxed,CAR5,main_surprise_std,160,160,1.0,1.0,56.5,preannouncement:160,0.0055973018966251255,0.6324539249943706,0.52709030666872,105,0.37220069930697197
spec_026,latest_snapshot,preannouncement_only,standardized,1,relaxed,CAR10,main_surprise_std,160,160,1.0,1.0,56.5,preannouncement:160,0.013526315062527912,1.326986318491389,0.1845132084837261,105,0.45876649428500405
spec_026,latest_snapshot,preannouncement_only,standardized,1,relaxed,CAR20,main_surprise_std,160,160,1.0,1.0,56.5,preannouncement:160,0.015244134794229364,0.9985335554037903,0.3180207015338563,105,0.47068420222545726
spec_027,latest_snapshot,preannouncement_only,standardized,2,restrictive,CAR3,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_027,latest_snapshot,preannouncement_only,standardized,2,restrictive,CAR5,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_027,latest_snapshot,preannouncement_only,standardized,2,restrictive,CAR10,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_027,latest_snapshot,preannouncement_only,standardized,2,restrictive,CAR20,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_028,latest_snapshot,preannouncement_only,standardized,2,relaxed,CAR3,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_028,latest_snapshot,preannouncement_only,standardized,2,relaxed,CAR5,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_028,latest_snapshot,preannouncement_only,standardized,2,relaxed,CAR10,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_028,latest_snapshot,preannouncement_only,standardized,2,relaxed,CAR20,main_surprise_std,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_029,latest_snapshot,preannouncement_only,standardized,3,restrictive,CAR3,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_029,latest_snapshot,preannouncement_only,standardized,3,restrictive,CAR5,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_029,latest_snapshot,preannouncement_only,standardized,3,restrictive,CAR10,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_029,latest_snapshot,preannouncement_only,standardized,3,restrictive,CAR20,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_030,latest_snapshot,preannouncement_only,standardized,3,relaxed,CAR3,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_030,latest_snapshot,preannouncement_only,standardized,3,relaxed,CAR5,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_030,latest_snapshot,preannouncement_only,standardized,3,relaxed,CAR10,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_030,latest_snapshot,preannouncement_only,standardized,3,relaxed,CAR20,main_surprise_std,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_031,latest_snapshot,preannouncement_only,standardized,5,restrictive,CAR3,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_031,latest_snapshot,preannouncement_only,standardized,5,restrictive,CAR5,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_031,latest_snapshot,preannouncement_only,standardized,5,restrictive,CAR10,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_031,latest_snapshot,preannouncement_only,standardized,5,restrictive,CAR20,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_032,latest_snapshot,preannouncement_only,standardized,5,relaxed,CAR3,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_032,latest_snapshot,preannouncement_only,standardized,5,relaxed,CAR5,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_032,latest_snapshot,preannouncement_only,standardized,5,relaxed,CAR10,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_032,latest_snapshot,preannouncement_only,standardized,5,relaxed,CAR20,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
