model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
event_type_formal_release,CAR5,book_to_market,-0.023430410253689915,-1.0809840999898415,0.2797041864337684,213,0.272236468791594
event_type_formal_release,CAR5,turnover20,-0.0016129572170255975,-0.48949583787653006,0.624490700481932,213,0.272236468791594
event_type_formal_release,CAR5,pe_ttm,2.5980605401962443e-05,2.1578483927479275,0.03093962099448356,213,0.272236468791594
event_type_formal_release,CAR5,ps_ttm,0.0030584049593280448,2.371422861532632,0.017719745073891006,213,0.272236468791594
event_type_preannouncement,CAR5,main_surprise_std,-0.010204630608821827,-0.5152878104540227,0.6063519156113618,93,0.39572161959417707
event_type_preannouncement,CAR5,log_total_mv,0.0336112930852034,1.7313901330275827,0.08338220526146596,93,0.39572161959417707
event_type_preannouncement,CAR5,beta,-0.009962677219014894,-0.21346509047613682,0.8309642153498533,93,0.39572161959417707
event_type_preannouncement,CAR5,book_to_market,-0.017250958916198534,-0.29086032663669137,0.7711581448340559,93,0.39572161959417707
event_type_preannouncement,CAR5,turnover20,0.012161096986345526,1.1769820089703655,0.2392026871764461,93,0.39572161959417707
event_type_preannouncement,CAR5,pe_ttm,3.9044164593765864e-05,0.3652234359995015,0.7149446254453572,93,0.39572161959417707
event_type_preannouncement,CAR5,ps_ttm,0.0009612224221290574,0.5483549064646405,0.5834482331252588,93,0.39572161959417707
event_type_revision,CAR5,main_surprise_std,0.013396723476102936,0.8084750853553873,0.41881714297737005,57,0.8264709899169624
event_type_revision,CAR5,log_total_mv,-0.05837827571315426,-1.2933061680579863,0.1959051882069034,57,0.8264709899169624
event_type_revision,CAR5,beta,-0.02324549190242856,-0.4023860810681271,0.6873999120407273,57,0.8264709899169624
event_type_revision,CAR5,book_to_market,-0.14310346089756398,-0.9183843446869075,0.3584176838566332,57,0.8264709899169624
event_type_revision,CAR5,turnover20,0.0033145661745924582,0.21897040717714703,0.8266731000135241,57,0.8264709899169624
event_type_revision,CAR5,pe_ttm,-4.439180015610078e-05,-0.4113704220055073,0.680800938906486,57,0.8264709899169624
event_type_revision,CAR5,ps_ttm,0.009554949955248252,0.7233589364521162,0.4694593925730627,57,0.8264709899169624
pooled_fe,CAR10,main_surprise_std,-0.00370783244456373,-0.6473312143772147,0.517417603631162,404,0.1725110368142606
pooled_fe,CAR10,log_total_mv,-0.011886599046033161,-2.107611119955371,0.03506464092664644,404,0.1725110368142606
