ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20,log_size,high_ES_dummy,strong_ES_dummy
000422.SZ,guidance_initial,2021-06-30,2021-07-14,2021-07-15,297.7537,367.7487,69.995,cross_sectional_90d_median,0,0.11016231137601057,0.9761175726366298,1731434.8615,0.11047896576551482,0.34051826880512137,,14.364461022423068,1,1
000501.SZ,guidance_initial,2021-06-30,2021-07-14,2021-07-15,1092.0550000000003,1162.0500000000002,69.995,cross_sectional_90d_median,0,-0.09880134503502719,-0.10028801597431619,661333.7487,0.1030730195711767,1.6490765171503956,,13.402013906233245,1,1
000507.SZ,guidance_initial,2021-06-30,2021-07-14,2021-07-15,12.504999999999995,82.5,69.995,cross_sectional_90d_median,0,0.20436041708911618,0.14970803044715378,489298.9641,0.03470550014615767,1.1186933661483387,,13.100728960168905,1,0
000536.SZ,guidance_initial,2021-06-30,2021-07-14,2021-07-15,19.50999999999999,89.505,69.995,cross_sectional_90d_median,0,0.02990028029473086,-0.09596230340970549,1175563.9413,-0.07283562534906918,0.04865043688092319,,13.977258540463767,1,0
000007.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,25.54480000000001,90.7748,65.22999999999999,cross_sectional_90d_median,0,-0.12164869680841651,0.003968305589516989,474287.3722,0.015303371429694216,0.03851516341983839,,13.069568687433659,1,0
000020.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,87.49000000000001,152.72,65.22999999999999,cross_sectional_90d_median,0,0.024330646195432227,-0.036802325226904194,450226.3509,0.2737351734241778,0.09438058025180739,,13.017505737283402,1,1
000039.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,2387.1061999999997,2452.3361999999997,65.22999999999999,cross_sectional_90d_median,0,0.0728119851682354,0.09029431608719306,6524949.6659,0.4037026448938933,0.7100255609201931,,15.691143797104964,1,1
000045.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,10459.77,10525.0,65.22999999999999,cross_sectional_90d_median,0,-0.012656818248135585,0.00027902578114409604,615930.5684,-0.021649919929150437,0.4837695321948624,,13.330889522526634,1,1
000048.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,182.36,247.59,65.22999999999999,cross_sectional_90d_median,0,0.03670870983018036,-0.027264745006920922,816104.3828,0.6482155156389038,0.5,,13.612297545863205,1,1
000059.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,135.6533,200.8833,65.22999999999999,cross_sectional_90d_median,0,-0.023107408518987193,0.00830041430827997,844505.6595,0.013741981118803965,1.1936022917164002,,13.646506716806115,1,1
