ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
300746.SZ,汉嘉设计,20250830,汉嘉设计2025年半年报点评：新业务盈利能力良好，环卫机器人业务国内发展提,点评,一般报告,甬兴证券,刘荆,2027Q4,224200.0,,21000.0,10200.0,0.45,34.23,,10.5,12.36,买入,,
600350.SH,山东高速,20250830,山东高速公司点评：业绩同比增长，H1通行费收入提升,点评,一般报告,国金证券,"郑树明,霍泽嘉",2026Q4,2880400.0,863200.0,595000.0,364200.0,0.751,13.87,,10.72,,买入,,
688312.SH,燕麦科技,20250830,燕麦科技点评报告：Q2业绩高增，硅光设备持续交付,点评,一般报告,中泰证券,"冯胜,万欣怡",2025Q4,67000.0,,11600.0,11400.0,0.78,38.4,,7.7,35.0,买入,,
688312.SH,燕麦科技,20250830,燕麦科技点评报告：Q2业绩高增，硅光设备持续交付,点评,一般报告,中泰证券,"冯胜,万欣怡",2026Q4,84000.0,,13500.0,13200.0,0.91,33.0,,8.3,31.0,买入,,
688312.SH,燕麦科技,20250830,燕麦科技点评报告：Q2业绩高增，硅光设备持续交付,点评,一般报告,中泰证券,"冯胜,万欣怡",2027Q4,103400.0,,15300.0,15000.0,1.03,29.1,,8.8,26.0,买入,,
600350.SH,山东高速,20250830,山东高速公司点评：业绩同比增长，H1通行费收入提升,点评,一般报告,国金证券,"郑树明,霍泽嘉",2025Q4,2753900.0,790100.0,572300.0,348900.0,0.719,14.48,,10.98,,买入,,
600350.SH,山东高速,20250830,山东高速公司点评：业绩同比增长，H1通行费收入提升,点评,一般报告,国金证券,"郑树明,霍泽嘉",2027Q4,2967900.0,889100.0,627600.0,389000.0,0.802,12.99,,10.72,,买入,,
002415.SZ,海康威视,20250830,海康威视：H1业绩实现平稳增长，看好新业务成长空间,点评,首份报告,中泰证券,"王芳,杨旭,李雪峰",2025Q4,9804500.0,,1526700.0,1319500.0,1.43,21.8,,13.2,,买入,,
002415.SZ,海康威视,20250830,海康威视：H1业绩实现平稳增长，看好新业务成长空间,点评,首份报告,中泰证券,"王芳,杨旭,李雪峰",2026Q4,10785000.0,,1807800.0,1552000.0,1.68,18.5,,13.5,,买入,,
002415.SZ,海康威视,20250830,海康威视：H1业绩实现平稳增长，看好新业务成长空间,点评,首份报告,中泰证券,"王芳,杨旭,李雪峰",2027Q4,11863500.0,,2159300.0,1840900.0,1.99,15.6,,13.8,,买入,,
000560.SZ,我爱我家,20250830,我爱我家——我爱我家2025H1业绩点评：盈利稳市占升，新房发力第二曲线,点评,首份报告,东北证券,"刘清海,刘张驰",2026Q4,1415200.0,,32900.0,23500.0,0.1,30.81,1.3,2.44,,买入,,
000560.SZ,我爱我家,20250830,我爱我家——我爱我家2025H1业绩点评：盈利稳市占升，新房发力第二曲线,点评,首份报告,东北证券,"刘清海,刘张驰",2025Q4,1337600.0,,23500.0,16700.0,0.07,43.26,0.92,1.76,,买入,,
000560.SZ,我爱我家,20250830,我爱我家——我爱我家2025H1业绩点评：盈利稳市占升，新房发力第二曲线,点评,首份报告,东北证券,"刘清海,刘张驰",2027Q4,1485900.0,,41800.0,29800.0,0.13,24.27,1.65,3.04,,买入,,
600886.SH,国投电力,20250830,国投电力25年中报点评：营收略降，业绩韧性十足,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2027Q4,6322200.0,,1741000.0,766000.0,0.96,15.0,,9.8,10.4,增持,,
600886.SH,国投电力,20250830,国投电力25年中报点评：营收略降，业绩韧性十足,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2026Q4,5934700.0,,1642200.0,722600.0,0.9,15.9,,9.7,10.8,增持,,
600886.SH,国投电力,20250830,国投电力25年中报点评：营收略降，业绩韧性十足,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2025Q4,5680300.0,,1561100.0,686900.0,0.86,16.7,,10.2,11.1,增持,,
