ts_code,trade_date,close,mkt_ret
399300.SZ,2020-08-25,4761.9507,0.0012829675357024
399300.SZ,2020-08-26,4706.1302,-0.0117221919160147
399300.SZ,2020-08-27,4731.3451,0.005357884063641
399300.SZ,2020-08-28,4844.2652,0.0238663842128108
399300.SZ,2020-08-31,4816.2153,-0.005790331214732
399300.SZ,2020-09-01,4842.1223,0.0053791199907529
399300.SZ,2020-09-02,4843.887,0.0003644476307422
399300.SZ,2020-09-03,4817.0952,-0.0055310538829662
399300.SZ,2020-09-04,4770.219,-0.0097312172696939
399300.SZ,2020-09-07,4669.3677,-0.0211418595246885
399300.SZ,2020-09-08,4694.3894,0.0053586912849035
399300.SZ,2020-09-09,4584.5887,-0.0233897724803144
399300.SZ,2020-09-10,4581.9775,-0.0005695603620887
399300.SZ,2020-09-11,4627.2826,0.0098876740446673
399300.SZ,2020-09-14,4651.0507,0.0051365135987155
399300.SZ,2020-09-15,4688.4826,0.0080480524540402
399300.SZ,2020-09-16,4657.3584,-0.0066384377751557
399300.SZ,2020-09-17,4632.7142,-0.0052914544863027
399300.SZ,2020-09-18,4737.0887,0.0225298810792169
399300.SZ,2020-09-21,4691.4281,-0.0096389582065457
399300.SZ,2020-09-22,4635.7608,-0.0118657472337687
399300.SZ,2020-09-23,4652.3273,0.003573631322824
399300.SZ,2020-09-24,4563.0657,-0.0191864403005351
399300.SZ,2020-09-25,4570.0216,0.0015243918140384
399300.SZ,2020-09-28,4581.9085,0.0026010599162156
399300.SZ,2020-09-29,4591.7993,0.0021586637969746
399300.SZ,2020-09-30,4587.3953,-0.000959101152352
399300.SZ,2020-10-09,4681.1412,0.020435539967528
399300.SZ,2020-10-12,4823.1578,0.030338029538609
399300.SZ,2020-10-13,4839.201,0.0033262855301976
399300.SZ,2020-10-14,4807.1021,-0.0066330991417797
399300.SZ,2020-10-15,4798.7361,-0.0017403416499099
399300.SZ,2020-10-16,4791.676,-0.0014712415629606
399300.SZ,2020-10-19,4755.4879,-0.0075522844198981
399300.SZ,2020-10-20,4793.4672,0.0079864150216846
399300.SZ,2020-10-21,4792.8284,-0.0001332647065989
399300.SZ,2020-10-22,4777.9845,-0.0030971065018727
399300.SZ,2020-10-23,4718.4881,-0.0124521961090497
399300.SZ,2020-10-26,4691.2359,-0.005775621220704
399300.SZ,2020-10-27,4699.2792,0.0017145375273071
399300.SZ,2020-10-28,4737.2718,0.0080847718092595
399300.SZ,2020-10-29,4772.9198,0.0075250062704865
399300.SZ,2020-10-30,4695.3338,-0.0162554585559974
399300.SZ,2020-11-02,4720.8313,0.005430391338737
399300.SZ,2020-11-03,4777.5608,0.0120168454229661
399300.SZ,2020-11-04,4813.6564,0.0075552361363981
399300.SZ,2020-11-05,4885.1118,0.0148443083723217
399300.SZ,2020-11-06,4885.7178,0.0001240503850905
399300.SZ,2020-11-09,4981.3497,0.0195737666223783
399300.SZ,2020-11-10,4953.8756,-0.0055153927458655
399300.SZ,2020-11-11,4904.8981,-0.0098867036548111
399300.SZ,2020-11-12,4908.463,0.0007268040899768
399300.SZ,2020-11-13,4856.8513,-0.0105148393702875
399300.SZ,2020-11-16,4904.1716,0.0097429995437576
399300.SZ,2020-11-17,4894.786,-0.0019137992642833
399300.SZ,2020-11-18,4891.6716,-0.0006362688787621
399300.SZ,2020-11-19,4927.9891,0.0074243536708391
399300.SZ,2020-11-20,4943.2882,0.0031045320290989
399300.SZ,2020-11-23,5005.0273,0.0124894801804191
399300.SZ,2020-11-24,4974.2855,-0.0061421842793943
399300.SZ,2020-11-25,4910.7,-0.0127828408723222
399300.SZ,2020-11-26,4919.5912,0.0018105769034963
399300.SZ,2020-11-27,4980.765,0.0124347323818287
399300.SZ,2020-11-30,4960.2519,-0.0041184637299692
399300.SZ,2020-12-01,5067.0983,0.0215405189401771
399300.SZ,2020-12-02,5067.1447,9.15711463500557e-06
399300.SZ,2020-12-03,5057.0603,-0.00199015433682
399300.SZ,2020-12-04,5065.9163,0.0017512150290159
399300.SZ,2020-12-07,5022.2351,-0.0086225664644321
399300.SZ,2020-12-08,5009.8786,-0.0024603587354959
399300.SZ,2020-12-09,4942.6986,-0.0134095065696802
399300.SZ,2020-12-10,4940.5249,-0.0004397800019607
399300.SZ,2020-12-11,4889.6292,-0.0103016786738591
399300.SZ,2020-12-14,4934.8352,0.0092452818303687
399300.SZ,2020-12-15,4945.1,0.0020800694620968
399300.SZ,2020-12-16,4953.867,0.0017728660694424
399300.SZ,2020-12-17,5017.4784,0.0128407565241457
399300.SZ,2020-12-18,4999.9678,-0.0034899203552125
399300.SZ,2020-12-21,5046.8396,0.0093744203712671
399300.SZ,2020-12-22,4964.7727,-0.0162610478050461
399300.SZ,2020-12-23,5007.1235,0.0085302596028211
399300.SZ,2020-12-24,5000.0154,-0.0014195974994424
399300.SZ,2020-12-25,5042.0137,0.008399634129127
399300.SZ,2020-12-28,5064.4147,0.0044428677375469
399300.SZ,2020-12-29,5042.9361,-0.0042410823900341
