ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR3,CAR5,CAR20
000007.SZ,guidance_initial,其他商业,2020-09-30,2020-10-15,2020-10-16,-448.1132,-0.8477102997009895,-402.1482,45.965,cross_sectional_90d_median,fallback_zero,0,474287.3722,0.25149592494922157,0.03851516341983839,,-0.03997265003517025,-0.02239494154002695,-0.03572864812172088
000008.SZ,guidance_initial,运输设备,2020-09-30,2020-10-15,2020-10-16,-308.3324,-0.5450149031402638,-262.3674,45.965,cross_sectional_90d_median,fallback_zero,0,733421.9744,0.5849819887844818,0.3996642820031174,,-0.012851945378722023,-0.023693989250504234,-0.08241520524369389
000017.SZ,guidance_initial,服饰,2020-09-30,2020-10-15,2020-10-16,2030.6499999999999,5.110705775919042,2076.615,45.965,cross_sectional_90d_median,fallback_zero,0,474848.4188,0.6736817259869209,0.07882208279471577,,-0.0028370312650716142,0.02006318416567401,-0.011090795066913945
000021.SZ,guidance_initial,元器件,2020-09-30,2020-10-15,2020-10-16,29.034999999999997,0.15579724361913785,75.0,45.965,cross_sectional_90d_median,fallback_zero,0,4521724.8503,1.4497341808984112,0.2816346072605402,,-0.013762511246331979,-0.020689485547208813,-0.09060376928408326
000027.SZ,guidance_upward_revision,火力发电,2020-09-30,2020-10-15,2020-10-16,26.955,0.4384769448419794,125.36,98.405,prior_guidance_same_period,prior_guidance_same_period,1,3192208.6336,1.029871811446022,1.0256410256410258,,-0.004072529818912922,-0.009540893339935217,-0.06283041976888196
000031.SZ,guidance_initial,全国地产,2020-09-30,2020-10-15,2020-10-16,-114.465,-0.14229481583881257,-68.5,45.965,cross_sectional_90d_median,fallback_zero,0,1243030.8683,0.9448053433596669,0.8151952392598028,,0.0032048375452442615,0.014838570098253647,-0.020301090546333153
000042.SZ,guidance_initial,全国地产,2020-09-30,2020-10-15,2020-10-16,-136.005,-0.18703978420622894,-90.03999999999999,45.965,cross_sectional_90d_median,fallback_zero,0,592364.5448,0.5711670927795297,0.5564830272676684,,-0.006335043419002144,-0.003086448249438687,-0.06265400415202842
000056.SZ,guidance_initial,其他商业,2020-09-30,2020-10-15,2020-10-16,-124.855,-0.16387792732151713,-78.89,45.965,cross_sectional_90d_median,fallback_zero,0,221132.7771,0.7927658676191544,,,0.03353010816005376,0.03676880839852661,-0.028611831628147316
000061.SZ,guidance_initial,农业综合,2020-09-30,2020-10-15,2020-10-16,22.784999999999997,0.1428141399842097,68.75,45.965,cross_sectional_90d_median,fallback_zero,0,1456961.5193,0.747257260352896,0.5835327070082278,,-0.013690343594914051,-0.024049034405653515,-0.11402921145846528
000066.SZ,guidance_initial,IT设备,2020-09-30,2020-10-15,2020-10-16,-259.17044999999996,-0.4428909524610388,-213.20544999999998,45.965,cross_sectional_90d_median,fallback_zero,0,5032246.5773,1.614572027733782,0.2204342554833021,,4.454647002861273e-05,-0.02700507046799836,-0.0849024241934511
000068.SZ,guidance_initial,环境保护,2020-09-30,2020-10-15,2020-10-16,-50.32000000000001,-0.06190966539666796,-4.355,45.965,cross_sectional_90d_median,fallback_zero,0,333208.2546,0.9411482924784206,0.18112660749864154,,0.0010661956344582071,-0.005049227549593447,-0.07037650276011412
000070.SZ,guidance_initial,通信设备,2020-09-30,2020-10-15,2020-10-16,-163.165,-0.24345915936217272,-117.19999999999999,45.965,cross_sectional_90d_median,fallback_zero,0,1870016.0665,1.2747631212554134,0.08062825536581039,,0.051192782259841925,0.020794877228025886,0.029224789893611276
000089.SZ,guidance_initial,机场,2020-09-30,2020-10-15,2020-10-16,-158.33530000000002,-0.23342644006207475,-112.3703,45.965,cross_sectional_90d_median,fallback_zero,0,1402726.3442,1.1565371266686608,0.8250144377526607,,-0.01030469412662826,-0.02317439545171838,-0.05300034029216664
000157.SZ,guidance_initial,工程机械,2020-09-30,2020-10-15,2020-10-16,16.4,0.1295506013107671,62.365,45.965,cross_sectional_90d_median,fallback_zero,0,7091798.8935,1.0303303949527551,0.8117542008279893,,-0.0028700623039340425,-0.022793078917406315,-0.1356951589288483
000158.SZ,guidance_initial,软件服务,2020-09-30,2020-10-15,2020-10-16,-254.875,-0.43396802885965446,-208.91,45.965,cross_sectional_90d_median,fallback_zero,0,2850333.6135,1.2484773273911522,0.18962019075791192,,-0.020685303669921044,-0.0505251005521403,-0.09693108713272794
000301.SZ,guidance_initial,化纤,2020-09-30,2020-10-15,2020-10-16,-129.14000000000001,-0.1727791431736239,-83.17500000000001,45.965,cross_sectional_90d_median,fallback_zero,0,7629360.2636,0.5606217105960805,0.4380969070358363,,-0.004968380446796143,-0.020084291511156184,0.23595112845319557
000402.SZ,guidance_initial,全国地产,2020-09-30,2020-10-15,2020-10-16,-80.965,-0.6598279168792779,-35.0,45.965,cross_sectional_90d_median,fallback_zero,0,848856.0936,0.808841576761516,2.7739251040221915,,0.00552140924414047,0.02067620881426515,0.022477656408893282
000409.SZ,guidance_initial,软件服务,2020-09-30,2020-10-15,2020-10-16,94.5121,0.1284890025320714,140.4771,45.965,cross_sectional_90d_median,fallback_zero,0,757725.0646,0.5683842258264077,0.2118958320089844,,0.005919552816507365,-0.0028463865762777558,-0.04160591647670845
000410.SZ,guidance_initial,机床制造,2020-09-30,2020-10-15,2020-10-16,33.485,0.380162933175186,79.45,45.965,cross_sectional_90d_median,fallback_zero,0,1780177.062,0.21644164676366698,0.331928170743851,,-0.0034417649462733443,-0.00926116749345782,-0.08241641399304614
000420.SZ,guidance_initial,化纤,2020-09-30,2020-10-15,2020-10-16,-402.84005,-2.9326532896735267,-356.87505,45.965,cross_sectional_90d_median,fallback_zero,0,1231893.0398,0.6969039028027005,0.35905353488205094,,-0.017988590825191213,-0.024443506423154605,-0.0860190167767271
000422.SZ,guidance_initial,农药化肥,2020-09-30,2020-10-15,2020-10-16,-148.18425000000002,-0.21233969859754076,-102.21925,45.965,cross_sectional_90d_median,fallback_zero,0,1731434.8615,0.3932123486359016,0.34051826880512137,,0.012329599124554788,0.00808330869738441,-0.004057119216897697
000423.SZ,guidance_initial,中成药,2020-09-30,2020-10-15,2020-10-16,-156.965,-7.245336222764716,-111.0,45.965,cross_sectional_90d_median,fallback_zero,0,3582443.0719,0.9091237926688421,0.2885253469517297,,-0.03161260845500335,-0.06632119631336339,0.006135132698670449
000426.SZ,guidance_initial,铅锌,2020-09-30,2020-10-15,2020-10-16,-101.52000000000001,-0.26103534783697396,-55.555,45.965,cross_sectional_90d_median,fallback_zero,0,7945969.932,1.3836785974892236,0.11525783176966875,,0.015983611500173696,0.003377703104315753,0.02733180441597722
000428.SZ,guidance_initial,酒店餐饮,2020-09-30,2020-10-15,2020-10-16,-156.46,-0.9880015687449478,-110.495,45.965,cross_sectional_90d_median,fallback_zero,0,404513.622,0.6023734273726827,0.3445543189883885,,-0.037229059604927166,-0.07075812995722161,-0.10996390604995027
000429.SZ,guidance_initial,路桥,2020-09-30,2020-10-15,2020-10-16,-115.27000000000001,-0.14396703958699134,-69.305,45.965,cross_sectional_90d_median,fallback_zero,0,2686685.8719,0.5701147478038345,0.41375315486780584,,-0.013335400832842563,-0.008579476611403878,-0.02878960764375254
000501.SZ,guidance_initial,百货,2020-09-30,2020-10-15,2020-10-16,-121.45500000000001,-0.15681511894411623,-75.49000000000001,45.965,cross_sectional_90d_median,fallback_zero,0,661333.7487,1.0063458114102237,1.6490765171503956,,-0.018101002490213507,-0.042832046133795744,-0.08919391405225244
000506.SZ,guidance_initial,黄金,2020-09-30,2020-10-15,2020-10-16,-371.76205000000004,-0.5841516084481203,-325.79705,45.965,cross_sectional_90d_median,fallback_zero,0,1614632.8686,0.8526371970009468,0.055064866412634084,,-0.0064932068744871715,-0.022703006992894157,-0.03884421722480294
000509.SZ,guidance_initial,元器件,2020-09-30,2020-10-15,2020-10-16,-356.18025,-3.258214461489571,-310.21524999999997,45.965,cross_sectional_90d_median,fallback_zero,0,400276.7634,0.1969385142463174,0.030833459236625217,,0.03875123732809239,0.005112117191124832,0.0031376059951173235
000516.SZ,guidance_initial,医疗保健,2020-09-30,2020-10-15,2020-10-16,-2393.99,-0.5463443853602701,-2348.0249999999996,45.965,cross_sectional_90d_median,fallback_zero,0,1052281.4739,1.1392356221114341,0.31717838112154273,,-0.038373675253196675,-0.01648570976494177,0.12868960292496026
000521.SZ,guidance_initial,家用电器,2020-09-30,2020-10-15,2020-10-16,-297.66499999999996,-0.5228555495858266,-251.7,45.965,cross_sectional_90d_median,fallback_zero,0,589116.365,0.7208497318982877,1.0326311441553078,,0.029143969197078186,0.020591215817547324,0.016736099752658287
000523.SZ,guidance_initial,食品,2020-09-30,2020-10-15,2020-10-16,-2283.4479,-7.87254043632312,-2237.4829,45.965,cross_sectional_90d_median,fallback_zero,0,592856.3129,0.6003460274977577,0.3236664940445365,,-0.011380814934960674,-0.02861080178275508,-0.07745666494356676
000524.SZ,guidance_initial,旅游服务,2020-09-30,2020-10-15,2020-10-16,-208.155,-0.33691673256783955,-162.19,45.965,cross_sectional_90d_median,fallback_zero,0,723825.2848,0.15797039961368078,0.3159757330637007,,-0.013308902940592606,-0.038581078168704576,-0.15862589062662732
000525.SZ,guidance_initial,农药化肥,2020-09-30,2020-10-15,2020-10-16,-102.015,-0.11643247339803568,-56.05,45.965,cross_sectional_90d_median,fallback_zero,0,766257.2221,0.7829858750111787,0.34372529474444025,,0.006525532622213899,0.008399051727564746,-0.029187748205824766
000526.SZ,guidance_initial,文教休闲,2020-09-30,2020-10-15,2020-10-16,-101.035,-0.12453911481640699,-55.07,45.965,cross_sectional_90d_median,fallback_zero,0,393367.6599,1.126524724261416,0.25351755609075927,,0.005525251338319721,-0.03807921104039367,-0.13523987298854728
000531.SZ,guidance_initial,火力发电,2020-09-30,2020-10-15,2020-10-16,77.035,-0.012906471829984575,123.0,45.965,cross_sectional_90d_median,industry_hist_median,0,695656.0898,1.2341520873625058,0.9697439875872771,,-0.010166599778363643,-0.005819517593612633,-0.07296268929255903
000533.SZ,guidance_initial,电气设备,2020-09-30,2020-10-15,2020-10-16,1199.035,6.921100788434516,1245.0,45.965,cross_sectional_90d_median,fallback_zero,0,1083890.304,0.8699192277652243,0.0893854748603352,,0.06743644491799529,0.04942610662004468,0.03240002058580046
000548.SZ,guidance_initial,路桥,2020-09-30,2020-10-15,2020-10-16,27.765,0.2789726834310241,73.73,45.965,cross_sectional_90d_median,fallback_zero,0,264584.3798,0.5713252793645204,0.776156473144986,,-0.012868718909926462,-0.019004602102465996,-0.06669001138848155
000553.SZ,guidance_initial,农药化肥,2020-09-30,2020-10-15,2020-10-16,-117.61500000000001,-0.14883830007081636,-71.65,45.965,cross_sectional_90d_median,fallback_zero,0,1465451.6008,0.6392170763336555,1.1993283761093787,,-0.013999827453481266,-0.030794480605006093,-0.05990736702947688
000557.SZ,guidance_initial,铁路,2020-09-30,2020-10-15,2020-10-16,1119.1866,6.921100788434516,1165.1516,45.965,cross_sectional_90d_median,fallback_zero,0,682519.376,0.7100440129866834,0.9280742459396752,,-0.007700769573099503,-0.013293927776392577,0.02055906682362392
000560.SZ,guidance_initial,房产服务,2020-09-30,2020-10-15,2020-10-16,-103.855,-0.12025469910815853,-57.89,45.965,cross_sectional_90d_median,fallback_zero,0,697228.2519,0.9469390081572546,1.3504388926401079,,0.09930322479457022,0.051600683796221875,-0.002644183486975857
000564.SZ,guidance_initial,百货,2020-09-30,2020-10-15,2020-10-16,-145.81435,-0.0401596507591291,-99.84935,45.965,cross_sectional_90d_median,fallback_zero,0,3394915.9106,1.1117850073033186,0.46360686138154844,,0.028713113820103893,0.03541439591788389,-0.12935043980667654
000566.SZ,guidance_initial,化学制药,2020-09-30,2020-10-15,2020-10-16,-130.94,-0.17651827702048317,-84.975,45.965,cross_sectional_90d_median,fallback_zero,0,718740.2798,0.8632386412362568,0.011377496222671256,,-0.0361986124221042,-0.07304248246068842,-0.04341103542831241
000570.SZ,guidance_initial,农用机械,2020-09-30,2020-10-15,2020-10-16,45.935,0.19090355584798357,91.9,45.965,cross_sectional_90d_median,fallback_zero,0,475636.7497,0.7065693361359936,0.7239032865209208,,0.022127033843489914,0.011083794373121925,0.1215574320241872
000571.SZ,guidance_initial,煤炭开采,2020-09-30,2020-10-15,2020-10-16,-62.465,-0.3305672534068462,-16.5,45.965,cross_sectional_90d_median,fallback_zero,0,477464.401,0.021469562865961696,0.029717858649977117,,0.017966622491813695,-0.037494699814212475,-0.17024596580201876
000572.SZ,guidance_initial,汽车整车,2020-09-30,2020-10-15,2020-10-16,-61.1129,-0.11739554930232805,-15.1479,45.965,cross_sectional_90d_median,fallback_zero,0,958823.0364,0.07309214037013026,0.17536168347216136,,0.03915660324025883,0.013240436606540529,-0.012815129407215234
000586.SZ,guidance_initial,通信设备,2020-09-30,2020-10-15,2020-10-16,-8.455000000000005,0.12520369426905512,37.51,45.965,cross_sectional_90d_median,fallback_zero,0,409125.6,0.9565889639051531,0.08277117907544593,,0.010962836241182335,-0.01864301999331506,-0.011343791170064385
000589.SZ,guidance_initial,汽车配件,2020-09-30,2020-10-15,2020-10-16,160.01000000000002,0.42787116339269227,205.97500000000002,45.965,cross_sectional_90d_median,fallback_zero,0,718236.5208,0.5798145078433875,1.231830500123183,,-0.016644234212618063,-0.02457383439609804,0.006779826140718093
000597.SZ,guidance_initial,化学制药,2020-09-30,2020-10-15,2020-10-16,-145.51,-0.20678448821422768,-99.545,45.965,cross_sectional_90d_median,fallback_zero,0,779190.1927,0.6321733660475962,0.7096728408203818,,-0.027056893870733838,-0.02562185479870758,-0.04983145595623509
000607.SZ,guidance_initial,广告包装,2020-09-30,2020-10-15,2020-10-16,-123.28999999999999,-0.1606269581713311,-77.32499999999999,45.965,cross_sectional_90d_median,fallback_zero,0,416238.6497,0.7236377865168439,0.3724117384179949,,0.008377463178942508,-0.0053299899024461285,-0.05938311356792772
000620.SZ,guidance_initial,全国地产,2020-09-30,2020-10-15,2020-10-16,-550.4231,-1.047909086684632,-504.45809999999994,45.965,cross_sectional_90d_median,fallback_zero,0,1696954.5466,0.6264783657621992,0.2635462787265444,,0.004112367647597488,-0.0014491678716902264,-0.14788061092706264
000625.SZ,guidance_initial,汽车整车,2020-09-30,2020-10-15,2020-10-16,185.54,0.5323267030256527,231.505,45.965,cross_sectional_90d_median,fallback_zero,0,10061617.9737,0.9500857544457006,0.7685804319422028,,0.09339940566207307,0.04863973459123086,0.06692103665910637
000626.SZ,guidance_initial,商贸代理,2020-09-30,2020-10-15,2020-10-16,-224.20925,-0.37203835565930615,-178.24425,45.965,cross_sectional_90d_median,fallback_zero,0,428099.7001,1.1694743316082572,0.5009016229212583,,0.0560850498800809,0.062098993952097524,0.2440192376619751
000628.SZ,guidance_initial,建筑工程,2020-09-30,2020-10-15,2020-10-16,79.6,1.192515238153741,125.565,45.965,cross_sectional_90d_median,fallback_zero,0,2059428.88,0.709837355180206,0.1073617985248489,,0.010800075269592821,-0.009477085603021825,-0.059227643124476516
000631.SZ,guidance_initial,综合类,2020-09-30,2020-10-15,2020-10-16,-112.11,-0.13740278238917164,-66.145,45.965,cross_sectional_90d_median,fallback_zero,0,749800.0277,0.4777274609462384,0.7260055176419341,,0.004659926994062154,-0.028264801178372136,-0.06230818908158789
000633.SZ,guidance_initial,小金属,2020-09-30,2020-10-15,2020-10-16,258.9,0.708633425224018,304.865,45.965,cross_sectional_90d_median,fallback_zero,0,262257.44,0.5626544889793962,0.07492151970810576,,0.00815155957750003,-0.021618001172931535,0.0290269845405495
000635.SZ,guidance_initial,化工原料,2020-09-30,2020-10-15,2020-10-16,-89.815,-0.22680882225214147,-43.85,45.965,cross_sectional_90d_median,fallback_zero,0,322795.4372,0.836202720692891,0.47810288774144194,,0.002385127921062054,-0.014527794269573823,0.03745750416490719
000659.SZ,guidance_initial,广告包装,2020-09-30,2020-10-15,2020-10-16,-130.6233,-0.1758603971930941,-84.6583,45.965,cross_sectional_90d_median,fallback_zero,0,538709.3559,0.940816522313221,0.031557388689200744,,0.00952881864472422,-0.008179185496944161,0.00042549125533549587
000663.SZ,guidance_initial,林业,2020-09-30,2020-10-15,2020-10-16,-128.785,-1.2775531711624113,-82.82,45.965,cross_sectional_90d_median,fallback_zero,0,215814.3985,0.44326662070116923,0.464101731099457,,0.04714116028058724,0.02686416132787974,-0.0259652656499985
000676.SZ,guidance_initial,互联网,2020-09-30,2020-10-15,2020-10-16,-172.90455,-0.263691093283383,-126.93955,45.965,cross_sectional_90d_median,fallback_zero,0,975076.8524,0.909910690369658,0.4380393359323667,,0.001043777384221685,-0.037955072275443126,-0.038641549224781975
000678.SZ,guidance_initial,汽车配件,2020-09-30,2020-10-15,2020-10-16,-166.2861,-0.02976866014113368,-120.3211,45.965,cross_sectional_90d_median,fallback_zero,0,580030.0878,0.5943062038628436,0.13747027205366838,,-0.00867932945050675,-0.01921327585026642,-0.06312769937324772
000679.SZ,guidance_initial,百货,2020-09-30,2020-10-15,2020-10-16,73.40379999999999,2.387618613886086,119.3688,45.965,cross_sectional_90d_median,fallback_zero,0,245916.0,0.4069493253027736,0.08027163922714466,,-0.004533919679494451,-0.02100634484380923,-0.07837432534116931
000695.SZ,guidance_initial,化工原料,2020-09-30,2020-10-15,2020-10-16,-354.7950000000001,-0.7846244893934337,-308.83000000000004,45.965,cross_sectional_90d_median,fallback_zero,0,343224.9179,0.5734971043996199,0.04013356450266487,,-0.006923723308088096,-0.03254624605694021,-0.004554030097183637
000701.SZ,guidance_initial,商贸代理,2020-09-30,2020-10-15,2020-10-16,114.96709999999999,0.33430370119785935,160.9321,45.965,cross_sectional_90d_median,fallback_zero,0,392299.7932,0.8177202746493728,,,0.038582249258357966,-0.001681223248884178,-0.10772707083042493
000702.SZ,guidance_initial,饲料,2020-09-30,2020-10-15,2020-10-16,-130.965,-1.039587294352535,-85.0,45.965,cross_sectional_90d_median,fallback_zero,0,233971.8399,0.8604113459119581,0.15045965424371455,,0.002982480518751947,-0.015326822610654078,-0.0674115825880163
000707.SZ,guidance_initial,化工原料,2020-09-30,2020-10-15,2020-10-16,-2107.7502,-4.0590587088490695,-2061.7852,45.965,cross_sectional_90d_median,industry_hist_median,0,343813.7095,0.5525467463403615,0.8281573498964803,,0.00894979868403812,-0.0030148840956477387,-0.12977746928729977
