ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR20,CAR60
000520.SZ,guidance_initial,水运,2020-06-30,2020-07-14,2020-07-15,-77.83,-0.16716005592042696,-80.47,-2.64,cross_sectional_90d_median,fallback_zero,0,426087.1346,0.643104448127282,0.09452421237700037,,-0.0013385753644581692,-0.05857004775232377
000529.SZ,guidance_initial,食品,2020-06-30,2020-07-14,2020-07-15,122.64,0.24927558979062056,120.0,-2.64,cross_sectional_90d_median,fallback_zero,0,339765.9721,1.0290166362921602,0.9328358208955223,,-0.02420477070980112,-0.0955556262229871
000539.SZ,guidance_initial,火力发电,2020-06-30,2020-07-14,2020-07-15,40.2,0.07802325960446424,37.56,-2.64,cross_sectional_90d_median,fallback_zero,0,2929658.4642,0.665940996182967,0.8002560819462228,,0.02521447847869092,-0.019610589476003613
000545.SZ,guidance_initial,化工原料,2020-06-30,2020-07-14,2020-07-15,-119.52499999999999,-0.25377293688975966,-122.16499999999999,-2.64,cross_sectional_90d_median,fallback_zero,0,299997.2612,0.9472215931889149,0.30404378230465184,,0.042313481081724585,-0.0579100213242274
000571.SZ,guidance_initial,煤炭开采,2020-06-30,2020-07-14,2020-07-15,38.64,0.07478267693718617,36.0,-2.64,cross_sectional_90d_median,fallback_zero,0,477464.401,0.3721098902313941,0.029717858649977117,,0.4104292627888838,0.1974376688942757
000573.SZ,guidance_initial,区域地产,2020-06-30,2020-07-14,2020-07-15,-120.655,-0.2561202820269547,-123.295,-2.64,cross_sectional_90d_median,fallback_zero,0,316587.1796,1.0088904476033282,0.5046681806712087,,0.11831941435521771,0.018164448288031442
000589.SZ,guidance_initial,汽车配件,2020-06-30,2020-07-14,2020-07-15,101.715,0.2058081588208811,99.075,-2.64,cross_sectional_90d_median,fallback_zero,0,718236.5208,0.8049052157729998,1.231830500123183,,0.15320071334381574,0.23030312958170523
000610.SZ,guidance_initial,旅游服务,2020-06-30,2020-07-14,2020-07-15,-232.97000000000003,-0.48943184758806757,-235.61,-2.64,cross_sectional_90d_median,fallback_zero,0,228461.7245,0.7678163782235661,0.06843221788818175,,0.07684463332969277,0.08569865961646961
000635.SZ,guidance_initial,化工原料,2020-06-30,2020-07-14,2020-07-15,-129.0945,-0.2736516265272709,-131.7345,-2.64,cross_sectional_90d_median,fallback_zero,0,322795.4372,0.9070398291126546,0.47810288774144194,,0.0024487159504370075,-0.004359731551737869
000637.SZ,guidance_initial,石油加工,2020-06-30,2020-07-14,2020-07-15,-81.795,-0.1753965368664254,-84.435,-2.64,cross_sectional_90d_median,fallback_zero,0,229784.9074,0.9029629717133988,0.2414584087890861,,0.04242229826233186,-0.04345994148280412
000672.SZ,guidance_initial,水泥,2020-06-30,2020-07-14,2020-07-15,7.369999999999999,0.009825612830913625,4.7299999999999995,-2.64,cross_sectional_90d_median,fallback_zero,0,1307714.4621,1.1784963475191519,0.6784260515603799,,0.05245655304098046,-0.12439511726372246
000700.SZ,guidance_initial,汽车配件,2020-06-30,2020-07-14,2020-07-15,-281.975,-0.5912297665688122,-284.615,-2.64,cross_sectional_90d_median,fallback_zero,0,1096110.3745,1.3981513273211916,0.3391209983722192,,-0.15274627161363857,-0.33364153935044455
000702.SZ,guidance_initial,饲料,2020-06-30,2020-07-14,2020-07-15,-63.120000000000005,-0.13660302320526008,-65.76,-2.64,cross_sectional_90d_median,fallback_zero,0,233971.8399,1.0753677494508764,0.15045965424371455,,0.05616072146901381,-0.03742363605107383
000707.SZ,guidance_initial,化工原料,2020-06-30,2020-07-14,2020-07-15,-3980.8551500000003,-8.274900857869389,-3983.49515,-2.64,cross_sectional_90d_median,fallback_zero,0,343813.7095,0.49296421932285056,0.8281573498964803,,0.010768934260108345,-0.0036751692328308504
000712.SZ,guidance_initial,证券,2020-06-30,2020-07-14,2020-07-15,102.64,0.20772965815885047,100.0,-2.64,cross_sectional_90d_median,fallback_zero,0,945280.0,1.2324457757933616,0.26832671460770635,,0.07256069786634796,-0.08634757497839615
000721.SZ,guidance_initial,酒店餐饮,2020-06-30,2020-07-14,2020-07-15,-328.2892,-0.6874380959078185,-330.9292,-2.64,cross_sectional_90d_median,fallback_zero,0,474627.1327,0.5468218227763924,0.04586293403534198,,0.010732513806480055,-0.08809124553683714
000759.SZ,guidance_initial,超市连锁,2020-06-30,2020-07-14,2020-07-15,-289.805,-0.6074949988026502,-292.445,-2.64,cross_sectional_90d_median,fallback_zero,0,368329.756,0.731343441468376,0.3290014805066623,,0.03863894887722773,-0.08631541598561243
000800.SZ,guidance_initial,汽车整车,2020-06-30,2020-07-14,2020-07-15,17.115,0.030068868018493605,14.475,-2.64,cross_sectional_90d_median,fallback_zero,0,3499030.7732,0.9835504638138459,0.7565441065214101,,-0.041234043652875585,-0.19256617588478556
000811.SZ,guidance_initial,工程机械,2020-06-30,2020-07-14,2020-07-15,-52.86,-0.115289960278162,-55.5,-2.64,cross_sectional_90d_median,fallback_zero,0,1911512.5991,0.93239388408804,0.33366700033366703,,-0.005270153195169346,-0.08986840035760736
000007.SZ,guidance_initial,其他商业,2020-06-30,2020-07-15,2020-07-16,-806.79975,-3.012835475462143,-813.5,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,474287.3722,0.3380859288075117,0.03851516341983839,,-0.03968971860134975,0.018870358948448095
000008.SZ,guidance_initial,运输设备,2020-06-30,2020-07-15,2020-07-16,-501.07340000000005,-1.0547964673657177,-507.77365000000003,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,733421.9744,0.8771221424091008,0.3996642820031174,,0.016411482565823702,-0.086386178658748
000014.SZ,guidance_initial,全国地产,2020-06-30,2020-07-15,2020-07-16,684.5896999999999,1.4081774371799114,677.8894499999999,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,322647.6166,0.697406027597328,0.45660015524405273,,0.037716677099723026,-0.19886377976859212
000016.SZ,guidance_initial,家用电器,2020-06-30,2020-07-15,2020-07-16,-64.95475,-0.1488486865537243,-71.655,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,792214.0392,1.2144598220378753,0.1597597213790459,,-0.06881503695319535,-0.20356191469581575
000027.SZ,guidance_upward_revision,火力发电,2020-06-30,2020-07-15,2020-07-16,19.120000000000005,0.039717910639972216,171.0,151.88,prior_guidance_same_period,prior_guidance_same_period,1,3192208.6336,0.8067494365080715,1.0256410256410258,,-0.034237546130162166,-0.025720173280357937
000039.SZ,guidance_initial,运输设备,2020-06-30,2020-07-15,2020-07-16,-126.39630000000001,-0.2764810083362235,-133.09655,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,6524949.6659,0.8588176232992434,0.7100255609201931,,0.12174844539994323,0.21637939425184838
000056.SZ,guidance_initial,其他商业,2020-06-30,2020-07-15,2020-07-16,-79.42475,-0.17890716808930995,-86.125,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,221132.7771,0.9154869858958491,,,-0.031832815034479316,-0.21720292718443265
000061.SZ,guidance_initial,农业综合,2020-06-30,2020-07-15,2020-07-16,116.07024999999999,0.22719392712833472,109.36999999999999,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1456961.5193,0.9138805804116533,0.5835327070082278,,0.033624515641759944,-0.10363590336026887
000066.SZ,guidance_initial,IT设备,2020-06-30,2020-07-15,2020-07-16,-309.49334999999996,-0.6568278844001628,-316.19359999999995,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,5032246.5773,1.4118123942866094,0.2204342554833021,,0.21126759184491153,0.03069513600324982
