ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
002172.SZ,guidance_initial,2020-06-30,2020-07-13,2020-07-14,44.120000000000005,39.085,-5.035,cross_sectional_90d_median,0,0.04303992813443887,0.029786023738725367,296338.4233,0.5190294526691325,0.05936832106388031,
000025.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-35.044999999999995,-38.864999999999995,-3.8200000000000003,cross_sectional_90d_median,0,-0.04201792240658014,-0.05124391425873487,702194.0033,0.7363647667363714,0.2573870071038814,
000049.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,3.8200000000000003,0.0,-3.8200000000000003,cross_sectional_90d_median,0,0.03819654128802192,-0.03822184429214318,1050063.1978,1.224173477995819,0.6344775077723495,
000409.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,156.51149999999998,152.6915,-3.8200000000000003,cross_sectional_90d_median,0,-0.03311422776042587,-0.06276964958905044,757725.0646,0.6419829039252348,0.2118958320089844,
000421.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,617.6,613.78,-3.8200000000000003,cross_sectional_90d_median,0,0.45406238408048427,0.3482482903289443,349244.7663,0.7030457657124943,0.7848061528802386,
000503.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-3.6171999999999995,-7.4372,-3.8200000000000003,cross_sectional_90d_median,0,0.03899651528127264,-0.1485032148613203,757941.4133,1.0400546992839586,0.16579073892932342,
000520.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-76.65,-80.47,-3.8200000000000003,cross_sectional_90d_median,0,-0.0013385753644581692,-0.05857004775232377,426087.1346,0.643104448127282,0.09452421237700037,
000529.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,123.82,120.0,-3.8200000000000003,cross_sectional_90d_median,0,-0.02420477070980112,-0.0955556262229871,339765.9721,1.0290166362921602,0.9328358208955223,
000539.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,41.38,37.56,-3.8200000000000003,cross_sectional_90d_median,0,0.02521447847869092,-0.019610589476003613,2929658.4642,0.665940996182967,0.8002560819462228,
000545.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-118.345,-122.16499999999999,-3.8200000000000003,cross_sectional_90d_median,0,0.042313481081724585,-0.0579100213242274,299997.2612,0.9472215931889149,0.30404378230465184,
000571.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,39.82,36.0,-3.8200000000000003,cross_sectional_90d_median,0,0.4104292627888838,0.1974376688942757,477464.401,0.3721098902313941,0.029717858649977117,
